,code,ergp_line_item,status,amount,mda_code,agency,mother_ministry
127,ERGP29201714,PURCHASE OF PHOTOCOPYING MACHINES,ONGOING,56840000.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
128,ERGP29201715,PURCHASE OF 20 SHREDDING MACHINES,ONGOING,11200000.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
129,ERGP29201718,PURCHASE OF COMPUTER,ONGOING,75600000.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
130,ERGP30188510,PURCHASE OF PROJECT VEHICLES,ONGOING,115500000.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
131,ERGP30195160,RESEARCH STUDIES ON EXTRACTIVE INDUSTRY,ONGOING,147336000.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
132,ERGP30201642,PURCHASE OF LIBRARY BOOKS AND EQUIPMENT,ONGOING,27036148.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
133,ERGP30226815,CAPACITY DEVELOPMENT ON NATURAL RESOURCE GOVERNANCE PROJECT,ONGOING,192734920.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
134,ERGP30228678,PMS CONSUMPTION STUDY,ONGOING,136860850.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
135,ERGP30228716,IMPACT ASSESEMENT OF EITI IMPLEMENTATION IN NIGERIA,ONGOING,88900000.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
136,ERGP3188508,ESTABLISHMENT OF EXTRACTIVE INDUSTRY DATA CENTRE,ONGOING,117376192.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
137,ERGP3195102,SOLID MINERALS INDUSTRY AUDIT PROJECT,ONGOING,89190861.0,111011001,NIGERIA EXTRACTIVE INDUSTRIES TRANSPARENCY INITIATIVE (NEITI),
