code,ergp_line_item,mda,mother_ministry,amount,similarity_score,mandate_deviation_score
ERGP30237956,SUPPLY OF FOOD ITEMS TO WOMEN AND YOUTHS IN AKOKO NORTH EAST/ AKOKO NORTH WEST FEDERAL CONSTITUENCY.,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.5249,47.51
ERGP30237961,"TRAINING AND STRATEGIC EMPOWERMENT OF FARMERS IN AKOKO NORTH EAST/ AKOKO NORTH WEST FEDERAL CONSTITUENCY, ONDO STATE.",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.5081,49.19
ERGP30237966,"SUPPLY OF FERTILIZER TO FARMERS IN KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,280000000.0,0.4555,54.45
ERGP30237974,"SUPPLY AND INSTALLATION OF SOLAR STREET LIGHTS IN KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,210000000.0,0.3506,64.94
ERGP30237978,"SUPPLY OF 3Ã¢â¬â¢Ã¢â¬â¢ INCHES PUMPING MACHINE TO KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,140000000.0,0.3394,66.06
ERGP30237980,"SUPPLY OF HERBICIDES AND KNAPSACK SPRAYERS TO KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.4046,59.54
ERGP30237981,"SUPPLY OF GRAINS TO BAGUDO L.G.A, KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.4652,53.48
ERGP30237984,"SUPPLY OF GRAINS TO SURU L.G.A, KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.425,57.5
ERGP30237986,"SUPPLY OF TRACTORS AND IMPLEMENTS TO FARMERS IN KEBBI STATE,
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,210000000.0,0.4839,51.61
ERGP30237989,"SUPPLY OF IMPROVED SEEDLINGS TO FARMERS IN KEBBI STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.4216,57.84
ERGP30237992,"SUPPLY OF GRAINS TO BAGUDO/SURU/ZURU/ FAKAI/SAKABA, DANKO WASAGU FEDERAL CONSTITUENCY KEBBI STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.5278,47.22
ERGP30237997,SUPPLY OF GRAINS TO ARGUNGU/AUGIE /AREWA/DANDI FEDERAL CONSTITUENCY KEBBI STATE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.5584,44.16
ERGP30238000,"SUPPLY OF GRAINS TO BIRNIN KEBBI, KALGO/ BUNZA/ ALIERO/GWANDU/JEGA FEDERAL CONSTITUENCY KEBBI STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.5116,48.84
ERGP30238001,"SUPPLY OF GRAINS TO KOKO-BESSE/ MAIYAMA YAURI, NGASKI, SHANGA FEDERAL CONSTITUENCY KEBBI STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,70000000.0,0.513,48.7
ERGP30238006,"SUPPLY OF FERTILIZERS TO FARMERS IN JEMA'A AND SANGA LGA KADUNA STATE
",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,21000000.0,0.4772,52.28
ERGP30238007,"SUPPLY OF AGRICULTURAL INPUTS TO FARMERS IN MAKARFI/KUDAN FEDERAL CONSTITUENCY, KADUNA STATE",FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,21000000.0,0.5371,46.29
ERGP30238058,CONSTRUCTION OF TUBE-WELLS AND SUPPLY OF WATER PUMPS TO KANKIA/KUSADA /INGAWA FEDERAL CONSTITUENCY KATSINA STATE,FEDERAL MINISTRY OF AGRICULTURE AND FOOD SECURITY - HQTRS,,21000000.0,0.4984,50.16
